name,website,adresse,plz,ort,branche,mitarbeiter
Asklepios Klinik Reinbek,https://www.asklepios.com/reinbek/,Hamburger Straße 41,21465,Reinbek,Gesundheitswesen,500-999
Technologieforum Ahrensburg GmbH,https://www.technologieforum-ahrensburg.de/,Hamburger Straße 5,22926,Ahrensburg,IT / Beratung,10-49
Logistik Nord GmbH,https://www.logistik-nord.de/,Gewerbestraße 12,22885,Barsbüttel,Logistik,50-249
DataVision Stormarn AG,https://www.datavision-stormarn.de/,Am Markt 3,23843,Bad Oldesloe,IT / Software,10-49
Maschinenbau Glinde KG,https://www.maschinenbau-glinde.de/,Industrieweg 8,21509,Glinde,Maschinenbau,50-249
Nordautomation GmbH,https://www.nordautomation.de/,Schloßstraße 22,22926,Ahrensburg,Automatisierungstechnik,10-49
Pharmawerk Reinbek GmbH,https://www.pharmawerk-reinbek.de/,Sachsenwaldstraße 101,21465,Reinbek,Pharmazie,250-999
Handwerksbetrieb Runge,https://www.runge-handwerk.de/,Dorfstraße 4,22941,Bargteheide,Handwerk,1-9
Groß & Co. Steuerberatung,https://www.gross-stb.de/,Rathausplatz 7,23843,Bad Oldesloe,Unternehmensdienstleistungen,1-9
Stormarn Digital Solutions,https://www.stormarn-digital.de/,Neue Straße 15,22926,Ahrensburg,IT / Software,10-49
EcoEnergy Stormarn,https://www.ecoenergy-stormarn.de/,Windmühlenweg 2,22941,Bargteheide,Energie,10-49
HanseTransport GmbH,https://www.hansetransport.de/,Hafenstraße 30,21465,Reinbek,Logistik,50-249
Mediahaus Glinde,https://www.mediahaus-glinde.de/,Hauptstraße 55,21509,Glinde,Medien / Druck,10-49
InnovateTech Großhansdorf,https://www.innovatetech-gsh.de/,Kupferredder 3,22927,Großhansdorf,IT / Software,10-49
Bäckerei Meister Schmidt,https://www.baeckerei-schmidt-stormarn.de/,Bahnhofstraße 1,23843,Bad Oldesloe,Lebensmittel,1-9
AutoHaus Stormarn GmbH,https://www.autohaus-stormarn.de/,Industriestraße 44,22885,Barsbüttel,Kfz-Handel,10-49
Arztpraxis Dr. Müller,https://www.praxis-mueller-ahrensburg.de/,Rathausplatz 2,22926,Ahrensburg,Gesundheitswesen,1-9
Architektur & Planung GmbH,https://www.architektur-stormarn.de/,Am Marktplatz 11,22941,Bargteheide,Architektur,10-49
Softwareschmiede Nord,https://www.softwareschmiede-nord.de/,Bismarckallee 7,22926,Ahrensburg,IT / Software,10-49
Lager & Service Stormarn,https://www.lager-service-stormarn.de/,Logistikpark 5,22885,Barsbüttel,Logistik,50-249
